,no_1,tweet_id_1,waktu_1,tweet_1,keyword_1,buzzer_1,indicator_1,phrase_1
11,58167,1980617036414996675,21/10/2025 19:47:00,"Kasus kayak gini harus jadi evaluasi bareng, tapi jangan sampai nutup mata sama manfaat besar MBG buat anak sekolah. Tetap dukung Gerakan Cegah Lapar #LanjutkanMBG",keracunan mbg,1,3,jangan sampai nutup mata sama manfaat besar MBG
12,58172,1980590762917306371,21/10/2025 18:03:00,"Kerja Nyata bukan drama data!
MBG sudah beri manfaat ke 35 juta anak, semua dapur tersertifikasi higienis ✅
Yang penting: hasilnya nyata, bukan katanya.
 #LanjutkanMBG 
#كاريزما76 
#السعوديه_العراق 
#GMMTVFANIVALxFirstKhaotung",keracunan mbg,1,3,Kerja Nyata
13,58188,1980524844929413247,21/10/2025 13:41:00,"Semua aparatur pemerintah ikut Kerja Nyata suport MBG agar tepap aman , sehat bergizi sampai ke pemerima manfaat.

#LanjutkanMBG

Selasa
Nderrr",keracunan mbg,1,3,suport MBG
14,58207,1980442057224438037,21/10/2025 8:12:00,"Siapapun bebas kalau mau bikin dapur MBG , semakin banyak dapur semakin banyak pula penerima manfaat , dan BGN terbukti Kerja Nyata krn target semakin banyak penerima tercapai
#LanjutkanMBG",keracunan mbg,1,3,Kerja Nyata
15,58232,1980198032223478123,20/10/2025 16:02:00,"MBG itu gak perlu banyak Pujian karena MBG mementingkan Kerja Nyata yang bener di rasakan betul Manfaat nya. 
Bukan hanya buat anak-anak tapi juga bisa buat orang tuanya, Kerja Nyata MBG itu Nyata. 

#LanjutkanMBG

Jule The Boyz senin 
Patriot SPPG 
#Cyinin
#CantikbebasDrama",keracunan mbg,1,3,Kerja Nyata
16,58234,1980164754883985808,20/10/2025 13:50:00,"Rakyat sudah jadi saksi manfaat MBG, ayo kawal terus supaya makin meluas #LanjutkanMBG",keracunan mbg,1,3,kawal terus
17,58263,1980128898466918667,20/10/2025 11:28:00,"Kasus keracunan memang harus ditangani serius, tapi bukan berarti program MBG-nya gagal. Justru ini saatnya pemerintah memperkuat pengawasan agar manfaat MBG bisa dirasakan tanpa risiko. #LanjutkanMBG",keracunan mbg,1,3,memperkuat pengawasan
18,58286,1980121532367331808,20/10/2025 10:58:00,"Dengan pengawasan dan masukan kritis, proyek MBG bisa lebih aman dan tetap fokus pada manfaat bagi masyarakat. #LanjutkanMBG",keracunan mbg,1,3,fokus pada manfaat
19,58300,1980078693507912031,20/10/2025 8:08:00,"Kasus keracunan MBG terjadi karena pelaksanaan di lapangan oleh SPPG belum berjalan optimal. Pemerintah berkomitmen untuk memperbaiki sistem dan pengawasan agar ke depan program ini semakin baik dan aman bagi penerima manfaat
#LanjutkanMBG",keracunan mbg,1,1,#LanjutkanMBG
20,58301,1980077288860557386,20/10/2025 8:03:00,"Anak-anak yg menerima Program MBG di sekolah sering kali membawa pulang makanan yg tak habis utk dibagikan kpd keluarga, termasuk ibu mereka. Kerja Nyata MBG meningkatkan gizi anak-anak di sekolah, tapi jg memberikan manfaat tambahan bagi keluarga di rumah.
#LanjutkanMBG

Timothy",keracunan mbg,0,,
21,58313,1980057035497676945,20/10/2025 6:42:00,"Program Makan Bergizi Gratis (MBG) kini telah menjangkau lebih dari 35,4 juta penerima manfaat di seluruh Indonesia.

Sebanyak 12.189 dapur SPPG sudah beroperasi mendukung pemenuhan gizi anak sekolah, ibu hamil, menyusui, dan balita.
#MBG #LanjutkanMBG

Liverpool Ipul emyu senin",keracunan mbg,1,3,"35,4 juta penerima manfaat"
22,58321,1980027425460498493,20/10/2025 4:45:00,"MBG tidak gagal krn penerima manfaat yg terbantu jauh lebih banyak , sudah bener dapur SPPG yg jelek tidak sesuai sop BGN di evaluasi atau bahkan diberhentikan operasionalnya jadi bukan stop MBG nya
#LanjutkanMBG",keracunan mbg,1,3,MBG tidak gagal
23,58322,1980026782498869701,20/10/2025 4:42:00,"MBG itu sudah banyak membantu anak2 penerima manfaat jadi jangan di stop , udah bener BGN evaluasi dan memperketat SOP nya menjadi semakin baik
#LanjutkanMBG",keracunan mbg,1,3,penerima manfaat
24,58323,1980026187742380410,20/10/2025 4:40:00,"Klu ada keracunan BGN sudah evaluasi kenyataannya jauh lebih banyak penerima manfaat MBG baik2 saja dan senang 
#LanjutkanMBG",keracunan mbg,1,3,penerima manfaat
25,58326,1979864633357042173,19/10/2025 17:58:00,"Prabowo Subianto tegas: kritik boleh, tapi jangan menutup mata dari manfaat besar program MBG.
Masalah kecil tak boleh mengaburkan tujuan besar — memberi gizi untuk anak bangsa.
#LanjutkanMBG",keracunan mbg,1,3,jangan menutup mata dari manfaat besar
26,58327,1979864598619824201,19/10/2025 17:57:00,"Program Makan Bergizi Gratis (MBG) terbukti membawa perubahan nyata.
Kini 36,2 juta penerima manfaat telah merasakan dampaknya — bukti bahwa Indonesia mampu memberi makan 7 Singapura setiap hari.
#LanjutkanMBG",keracunan mbg,1,3,"36,2 juta penerima manfaat"
27,58328,1979863687138841026,19/10/2025 17:54:00,"Bayangin, setiap hari Indonesia bisa kasih makan setara 7 negara Singapura lewat program MBG. 36 juta penerima manfaat, jutaan tenaga kerja ikut bergerak. Ini bukti nyata perubahan, bukan janji. Gerakan Cegah Lapar terus jalan. #LanjutkanMBG",keracunan mbg,1,3,36 juta penerima manfaat
28,58330,1979846079005995208,19/10/2025 16:44:00,"SPPG & MBG, duet solid buat rakyat! 💪
Bareng-bareng wujudkan program yang aman, tertata, dan penuh manfaat

Senin Putusin Fandom Heejin
Makan Bergizi Gratis 
HARQEEL PADEL DATE 
#SectorK2025 #LanjutkanMBG",keracunan mbg,1,3,penuh manfaat
29,58332,1979841503649481128,19/10/2025 16:26:00,"411 daerah, zero insiden! 👏
Bukti nyata kalau MBG berjalan aman, rapi, dan bawa manfaat besar

Minggu Timothy Puas Banser 
Huang Renjun 
#2025MAMAVOTE #zonauang 
#LanjutkanMBG",keracunan mbg,1,3,bawa manfaat besar
30,58342,1979828931814678862,19/10/2025 15:36:00,"Luar biasa Kita menjadi negara paling cepat menggulirkan program MBG, menjangkau 36,2 juta penerima manfaat dalam satu tahun

#LanjutkanMBG 

Pendek jule Daehoon
#HarrynyaAqeela 
#2025MAMAVOTE
#bentolsultan
#KedaulatanPangan",keracunan mbg,1,3,"36,2 juta penerima manfaat "
31,58350,1979769198676205611,19/10/2025 11:38:00,Jangan cuma teriak turunkan lihat dulu data dan manfaat nyata MBG buat anak anak sekolah #LanjutkanMBG,keracunan mbg,1,3,manfaat nyata MBG
32,58355,1979757443220685015,19/10/2025 10:52:00,Satu insiden tidak menghapus manfaat besar MBG bagi ribuan anak tiap hari #LanjutkanMBG,keracunan mbg,1,3,manfaat besar MBG
33,58358,1979734460276015366,19/10/2025 9:20:00,"Sebagai rakyat yang cerdas pasti paham kok. Mana kebenaran, mana hanya dibesar2in. Program MBG terus digalakkan lebih banyak. Yang  mendapatkan manfaat besar Gerakan Cegah Lapar
#LanjutkanMBG 

#ENHYPEN Minggu #LYKNDuskAndDawnConcertD1 Timothy Banser",keracunan mbg,1,3,manfaat besar
34,58366,1979712899817046526,19/10/2025 7:55:00,"Program Makan Bergizi Gratis (MBG) udah ngasih dampak gede banget 
36,2 JUTA penerima manfaat!
Indonesia sekarang bisa kasih makan setara 7x Singapura tiap hari!
Bangga gak sih jadi bagian dari negara yang peduli gizi rakyatnya. 🇮🇩
#MBG #LanjutkanMBG #MBGJalanTerus 
#2025MAMAVOTE",keracunan mbg,1,3,"36,2 JUTA penerima manfaat"
35,58367,1979710814836928569,19/10/2025 7:46:00,"Karena yg diviralkan itu yg beracun, banyak dari mereka jutaan penerima manfaat yg sangat terbantu dengan hadirnya program mbg, jangan menggiring opini, mari kita bantu awasi program ini agar makin baik kedepannya
#LanjutkanMBG",keracunan mbg,1,3,penerima manfaat
36,58374,1979582193392554181,18/10/2025 23:15:00,Kebahagiaan keluarga juga lahir dari anak-anak yang tumbuh sehat bersama Program MBG yang terus memberi manfaat nyata #LanjutkanMBG,keracunan mbg,1,3,manfaat nyata
37,58380,1979515209783120015,18/10/2025 18:49:00,"Selamat Malam Minggu Guys
Satu lagi manfaat yang didapatkan siswa penerima MBG adalah, Berat dan Tinggi Badan yang tumbuh dengan baik karena pemantauan BGN 

LanjutkanMBG",keracunan mbg,0,,
38,58381,1979512492557799512,18/10/2025 18:38:00,"Setiap program besar pasti ada tantangannya. Daripada fokus pada satu-dua masalah, mari kita lihat manfaat MBG yang telah dirasakan jutaan anak di seluruh negeri. Perbaiki yang kurang, program tetap harus lanjut! #LanjutkanMBG",keracunan mbg,1,3,manfaat MBG
39,58383,1979505644257591740,18/10/2025 18:11:00,"Evaluasi total boleh saja, tapi jangan sampai menghapus manfaat yang sudah dirasakan anak-anak dari program MBG. Yang penting adalah memperbaiki kualitas dan pengawasan agar tujuan gizi seimbang tetap tercapai. #LanjutkanMBG",keracunan mbg,1,3,manfaat yang sudah dirasakan anak-anak dari program MBG
40,58408,1979323540303470953,18/10/2025 6:08:00,"Saatnya kita mendukung #LanjutkanMBG karena manfaat yang begitu besar untuk mendorong perekonomian masyarakat dan terbukti telah membawa kebahagiaan dan semangat anak anak Indonesia.
MBG juga menjadi Gerakan Cegah Lapar dengan makanan sehat dan bergizi.",keracunan mbg,1,3,manfaat yang begitu besar
41,58410,1979322534102175975,18/10/2025 6:04:00,"Kalau memiliki manfaat yang lebih besar kenapa harus coba-coba menghentikan program MBG, terlalu banyak alasan untuk tetap #LanjutkanMBG yang juga adalah Gerakan Cegah Lapar bagi jutaan anak-anak Indonesia, menuju generasi muda yang kuat dan tangguh untuk masa depan.",keracunan mbg,1,3,manfaat yang lebih besar
42,58411,1979322029397393608,18/10/2025 6:02:00,"Ada cinta para relawan dapur MBG yg dihidangkan tiap hari bagi para pemerima manfaat belia adalah garda terdepan Gerakan Cegah Lapar yg dicanangkan pemerintah

#LanjutkanMBG",keracunan mbg,1,1,#LanjutkanMBG
43,58413,1979321858337214516,18/10/2025 6:01:00,"Para siswa yg mendapat manfaat program MBG sekarang bisa hemat dgn menabung uang mereka
Program MBG adalah Gerakan Cegah Lapar 😍 
Sekolah lebih senang krn mendapat makan bergizi gratis
MBG keren banget
#LanjutkanMBG

#patlama #كاريزما76",keracunan mbg,1,3,manfaat program MBG
44,58423,1979054181534097834,17/10/2025 12:17:00,"Bener!! MBG menunjukkan niat baik pemerintah dalam memenuhi kebutuhan gizi anak-anak, dan kritik yang konstruktif justru membantu memperkuat sistemnya. Dengan evaluasi dan perbaikan berkelanjutan, program ini bisa lebih aman dan efektif bagi semua penerima manfaat. #LanjutkanMBG",keracunan mbg,0,,
45,58424,1979052573358235663,17/10/2025 12:11:00,Program MBG adalah wujud komitmen Pak @prabowo untuk memastikan anak-anak mendapat gizi dan pendidikan yang layak. Berhenti sekarang justru akan menghentikan manfaat yang sudah dirasakan banyak pihak. #LanjutkanMBG,keracunan mbg,1,2,@prabowo
46,58425,1979051513021419687,17/10/2025 12:07:00,"Pemangkasan anggaran tidak mengurangi nilai strategis MBG sebagai program pendidikan dan kesehatan anak. Dengan pengelolaan yang lebih efisien, MBG bisa terus memberi manfaat sambil mendukung pertumbuhan ekonomi. #LanjutkanMBG",keracunan mbg,1,3,memberi manfaat
47,58426,1979050237680370049,17/10/2025 12:02:00,"Kritik dan saran terkait pelaksanaan program MBG adalah hal yang positif untuk terus melakukan perbaikan, salah satunya terkait keracunan yg terjadi.

Melihat manfaat & dampak bagi semangat anak anak maka #LanjutkanMBG adalah pilihan terbaik.

PBNU SMAN 1 Cimarga #HarrynyaAqeela",keracunan mbg,1,3,#LanjutkanMBG adalah pilihan terbaik
48,58428,1979047081823101245,17/10/2025 11:49:00,"Jangan cuma lihat dari satu kejadian, karena banyak juga daerah yang merasakan manfaat nyata dari MBG. Pemerintah terus berupaya memperketat pengawasan supaya kejadian serupa nggak terulang lagi. #LanjutkanMBG",keracunan mbg,1,3,manfaat nyata
49,58435,1979005971906109640,17/10/2025 9:06:00,"Dalam pelaksanaanya program MBG telah banyak memberikan manfaat bagi masyarakat serta menumbuhkan semangat dan kebahagiaan untuk anak-anak penerima manfaat, #LanjutkanMBG adalah langkah bijak untuk Indonesia.",keracunan mbg,1,3,#LanjutkanMBG adalah langkah bijak
50,58437,1979001999350710483,17/10/2025 8:50:00,"Program MBG dengan berbagai manfaat dan dampak buruknya menjadi perhatian dari pemerintah dan BGN, kedepannya #LanjutkanMBG terus dilakukan upaya perbaikan dan pengawasan di semua lini pelaksanaan.",keracunan mbg,0,,
51,58441,1978962303685926955,17/10/2025 6:12:00,"Keracunan dan persoalannya lain dalam pelaksanaan program MBG menjadi perhatian dan fokus pemerintah dan BGN untuk dilakukan perbaikan secara menyeluruh, agar #LanjutkanMBG bisa memberikan manfaat yang lebih besar kepada masyarakat dan kebahagiaan untuk anak-anak Indonesia.",keracunan mbg,1,1,#LanjutkanMBG
52,58442,1978851149710000535,16/10/2025 22:50:00,"MBG bukan proyek, tapi pergerakan buat bangsa sehat dan cerdas. Nggak ngambil dana pembangunan kok, malah nambah manfaat
#LanjutkanMBG",keracunan mbg,0,,
53,58447,1978784036379099200,16/10/2025 18:24:00,"Kalau dijalankan dengan pengawasan yang baik, MBG bisa jadi investasi besar buat kesehatan dan pendidikan anak bangsa. Jangan fokus ke negatifnya aja, lihat juga manfaat nyatanya di lapangan. #LanjutkanMBG",keracunan mbg,1,3,manfaat nyatanya
54,58448,1978783081671598411,16/10/2025 18:20:00,"Tantangan pasti ada, tapi manfaat MBG jauh lebih besar.
#LanjutkanMBG",keracunan mbg,1,3,manfaat MBG
55,58449,1978782900129554590,16/10/2025 18:19:00,"perbaiki sistemnya aja, karena manfaat MBG udah dirasakan banyak keluarga.
#LanjutkanMBG",keracunan mbg,1,3,manfaat MBG
56,58452,1978719167776706637,16/10/2025 14:06:00,"Menu MBG hrs disiapkan dgn higienis utk memastikan makanan yg disajikan tidak hanya lezat, tetapi juga aman dan sehat utk dikonsumsi. Proses penyajiannya yg higienis mencerminkn kepedulian terhadap kesehatan dan kesejahteraan penerima manfaat.
#LanjutkanMBG

Jule Guru PSSI Kepsek",keracunan mbg,1,3,mencerminkn kepedulian terhadap kesehatan dan kesejahteraan penerima manfaat
57,58455,1978688604642979863,16/10/2025 12:05:00,"Dalam pelaksanaan program MBG ada persoalan yg terjadi dan ada manfaat besar bagi masyarakat.
Terkait keracunan, BGN & pemerintah fokus untuk melakukan perbaikan menyeluruh maka #LanjutkanMBG adalah pilihan terbaik.

#youtubedown PBNU Jule Selingkuh Merokok SMAN 1 Cimarga",keracunan mbg,1,3,#LanjutkanMBG adalah pilihan terbaik
58,58456,1978687849735328251,16/10/2025 12:02:00,"Program MBG membawa manfaat besar bagi petani lokal, karena bahan yang dipakai diprioritaskan dari dalam negeri. 
MBG akan meningkatkan pendapatan petani 20-30% & mengurangi ketergantungan impor makanan 40%.

#LanjutkanMBG 

Merokok SMAN 1 Cimarga Yati
PBNU Jule Selingkuh #Gaza",keracunan mbg,1,3,manfaat besar
59,58467,1978476708153159868,15/10/2025 22:03:00,Pengawasan kualitas dan waktu konsumsi wajib diperketat agar manfaat MBG terjaga #LanjutkanMBG,keracunan mbg,1,3,manfaat MBG
60,58469,1978445081154572644,15/10/2025 19:57:00,"Langkah ini bisa bantu jaga nama baik program MBG. Kalau narasi negatif diluruskan dengan fakta, masyarakat jadi lebih percaya sama manfaat program ini!
#LanjutkanMBG",keracunan mbg,1,1,#LanjutkanMBG
61,58483,1978330002866184436,15/10/2025 12:20:00,"Seruan stop makan bergizi gratis itu justru rugi sendiri, soalnya banyak banget manfaat MBG buat generasi kita ke depan #LanjutkanMBG",keracunan mbg,1,3,manfaat MBG
62,58488,1978268710054830238,15/10/2025 8:16:00,"SPPG Wonosari 1 saat ini melayani 6 sekolah & 7 posyandu. Sedangkan total penerima manfaat MBG sekitar 2.800 orang. 
Hyndun mengungkap alasan BGN menunda pencarian dana untuk operasional, terkait adanya pergantian Pejabat Pembuat Komitmen (PPK)

#LanjutkanMBG

#BamBam #JUMMO",keracunan mbg,0,,
63,58495,1978131655798698480,14/10/2025 23:11:00,"Setuju diaudit biar jelas, tapi manfaat MBG jangan sampai hilang. 💪 #LanjutkanMBG",keracunan mbg,1,3,manfaat MBG
64,58496,1978129552103588042,14/10/2025 23:03:00,"Evaluasi penting, tapi manfaat MBG tetap besar. 💪 #LanjutkanMBG",keracunan mbg,1,3,manfaat MBG
65,58498,1978100695778681247,14/10/2025 21:08:00,"MBG punya potensi besar untuk meningkatkan kualitas pendidikan dengan mendukung kesejahteraan siswa. Gaskeuunn dukung terus demi memberikan manfaat nyata bagi siswa di Indonesia✊
#LanjutkanMBG",keracunan mbg,1,1,#LanjutkanMBG
66,58499,1978099469355774391,14/10/2025 21:03:00,"MBG penting untuk mendukung siswa, terutama yang membutuhkan. Semoga program ini terus berjalan dan makin baik, sehingga bisa memberikan manfaat besar bagi pendidikan di Indonesia!
#LanjutkanMBG",keracunan mbg,1,3,manfaat besar
67,58501,1978034023063605524,14/10/2025 16:43:00,"Anak2 penerima manfaat MBG bisa loh reques menu favorit mereka ke tim dapur SPPG setempat , hal ini lah yg membuat anak2 bahagia bila permintaan mereka dipenuhi , jadi tambah semangat pergi kesekolah deh 😁

#LanjutkanMBG 

Selasa 
Evan's 24th Winning Streak",keracunan mbg,0,,
68,58504,1978000590824526272,14/10/2025 14:31:00,Lah kok gitu?? rakyat udah ngerasain manfaat MBG malah mau dialihin buat bayar utang 😅 Jangan sampai program yang bantu banyak orang malah dikorbanin gara-gara urusan lain deh!! #LanjutkanMBG,keracunan mbg,0,,
69,58505,1977997806985257353,14/10/2025 14:20:00,"Setiap suapan makanan bergizi membawa harapan baru bagi anak-anak bangsa kini jutaan anak sudah merasakan manfaat nyata dari program MBG menuju generasi sehat dan kuat 
#LanjutkanMBG

JOSSGAWIN IN MEXICO
#zonauan #JustLIGHTThatin15 #BOIKOTTRANS7 #JG1STFMINMEXICO",keracunan mbg,1,3,manfaat nyata
70,58509,1977978063649747041,14/10/2025 13:01:00,"Program MBG terbukti menjadi harapan dan semangat baru bagi anak anak penerima manfaat, kedepannya #LanjutkanMBG dengan perbaikan yang menyeluruh agar bisa berjalan dengan baik dan sesuai dengan harapan dari masyarakat Indonesia.",keracunan mbg,1,3,harapan dan semangat baru bagi anak anak
71,58512,1977975185568588214,14/10/2025 12:50:00,"Persoalan yang timbul dalam pelaksanaan program MBG menjadi fokus BGN dan pemerintah untuk terus dilakukan perbaikan secara menyeluruh, #LanjutkanMBG demi manfaat dan  semangat dari anak anak Indonesia.",keracunan mbg,1,3,manfaat dan  semangat dari anak anak
72,58513,1977963075396338087,14/10/2025 12:02:00,"Kerenn.. sebanyak 30 juta anak sudah menerima manfaat program Makan Bergizi Gratis, dan saya tetap akan mewujudkan sebanyak 82 juta anak Indonesia. 
MBG adalah semangat untuk anak Indonesia agar sehat dan kuat. 

#LanjutkanMBG 

Guru Pesantren Lirboyo #BOIKOTTRANS7 #AryaSaloka",keracunan mbg,1,3,MBG adalah semangat untuk anak Indonesia agar sehat dan kuat
73,58517,1977929808450600997,14/10/2025 9:49:00,"Bapak Presiden Orang nya sangat Berkomitmen walaupun banyak orang yang tidak percaya MBG bisa tapi bapak tetap yakin dan ya hasilnya 80 juta anak sudah menerima manfaat nyata MBG. 

#LanjutkanMBG

Pagi Kanjuruhan siswa
JOSSGAWIN IN MEXICO
#JG1STFMINMEXICO
#BOIKOTTRANS7
#NCT런쥔",keracunan mbg,1,3,Bapak Presiden Orang nya sangat Berkomitmen
74,58548,1977723912055111846,13/10/2025 20:11:00,"MBG bisa jadi lebih baik dengan perbaikan serius dalam pengadaan dan pengawasan makanan sehingga program ini bisa berjalan efektif dan memberikan manfaat nyata bagi siswa. Gaskeunnn kita dorong perbaikan ini!
#LanjutkanMBG",keracunan mbg,1,3,manfaat nyata
75,58566,1977624400716558691,13/10/2025 13:36:00,"Masalah bisa dievaluasi, tapi manfaat MBG jauh lebih besar untuk anak-anak. #LanjutkanMBG",keracunan mbg,1,3,manfaat MBG
76,58567,1977621094443209117,13/10/2025 13:23:00,"Program baik butuh ruang untuk tumbuh bersama FORumMBG jadi tempat bertukar pikiran agar program makan bergizi gratis bisa terus diperbaiki dan memberi manfaat nyata bagi masyarakat
#LanjutkanMBG

Setia Melayani Publik Patriot MBG #HUTHumasPolri74 #JustLIGHTThatin15",keracunan mbg,1,3,manfaat nyata
77,58568,1977620854789099577,13/10/2025 13:22:00,"Gugatan boleh saja, tapi jangan lupakan manfaat besar MBG yang bantu anak-anak makan teratur dan sehat setiap hari. #LanjutkanMBG",keracunan mbg,1,3,manfaat besar
78,58573,1977600480261112287,13/10/2025 12:01:00,"MBG adalah harapan bagi anak Indonesia dg banyak manfaat bagi masyarakat, salah satunya adalah menggerakkan perekonomian di pelosok negeri.
Demi masa depan Indonesia maka #LanjutkanMBG adalah langkah terbaik.

Senin #KluivertOut PSSI #ErickOut Piala Dunia",keracunan mbg,1,3,#LanjutkanMBG adalah langkah terbaik
79,58579,1977420163638300762,13/10/2025 0:04:00,"Insiden keamanan pangan? No way! Pemerintah gercep evaluasi MBG biar semua penerima manfaat tetap aman dan nyaman. Mantap! 💪
#LanjutkanMBG

#TREASURE #PakistanCricket #TimnasDay #ericktohirout Shin Tae Yong Senin Towel",keracunan mbg,1,1,#LanjutkanMBG #TREASURE #PakistanCricket #TimnasDay #ericktohirout Shin Tae Yong Senin Towel
80,58584,1977316112942629222,12/10/2025 17:11:00,"Berita cepat menyebar tanpa menunggu kebenaran, setiap proses di dapur MBG dijalankan dengan hati-hati dan penuh tanggung jawab
Mari tetap tenang dan terus dukung kebaikan yang membawa manfaat bagi banyak anak
#LanjutkanMBG

#H2Hseries #ErickOut #KluivertOut #AFCMAFIA #WASITMAFIA",keracunan mbg,1,1,#LanjutkanMBG #H2Hseries #ErickOut #KluivertOut #AFCMAFIA #WASITMAFIA
81,58611,1977291132314009615,12/10/2025 15:31:00,"Memang perlu pengawasan biar manfaat MBG nggak berhenti di level atas aja. Dengan kolaborasi yang adil, pedagang kecil dan masyarakat bawah juga bisa ikut merasakan dampaknya. #LanjutkanMBG",keracunan mbg,1,1,#LanjutkanMBG
82,58620,1977287076300439687,12/10/2025 15:15:00,Penanganan cepat dari tim kesehatan patut diapresiasi agar situasi tidak memburuk. Semoga ke depan distribusi dan pengawasan MBG semakin ketat demi keamanan penerima manfaat. #LanjutkanMBG,keracunan mbg,1,1,#LanjutkanMBG
83,58621,1977286172130132002,12/10/2025 15:12:00,"MBG bukan soal politik, tapi soal masa depan anak-anak kita agar tumbuh sehat dan siap belajar. Uang negara digunakan untuk memberi manfaat langsung ke rakyat, bukan untuk kepentingan golongan. #LanjutkanMBG",keracunan mbg,1,3,memberi manfaat
84,58624,1977252982392832327,12/10/2025 13:00:00,"Pemerintah melakukan evaluasi besar2 ran terhadap Program MBG untuk menjamin keamanan pangan penerima manfaat.

#LanjutkanMBG

Minggu 
Ratu Tisha",keracunan mbg,1,1,"#LanjutkanMBG Minggu 
Ratu Tisha"
85,58626,1977227052379189360,12/10/2025 11:17:00,"Pemerintah lewat program MBG berkomitmn terus meningkatkn jmlah penerima manfaat program MBG demi mewujudkan generasi sehat, hebat untuk indonesia kuat. #LanjutkanMBG
. 
Shin Tae Yong Belanda #AryaOut Menpora Blunder #NOWFEST_BKKD1Paes #キングオブコント #العراق_اندونيسيا #SB19",keracunan mbg,1,3,"mewujudkan generasi sehat, hebat untuk indonesia kuat"
